"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fn1",0,3.59617447293684,0.662,0.11,0
"Spp1",0,2.82889576151187,0.727,0.214,0
"Clu",0,2.46394902534245,0.555,0.132,0
"Lum",0,1.82041034930989,0.641,0.231,0
"Ctsd",0,1.30958892612764,0.646,0.303,0
"Ctsb",0,1.27389608609667,0.674,0.337,0
"Fth1",0,1.22965456667784,0.725,0.406,0
"Mfge8",0,1.50994112528767,0.504,0.186,0
"Bgn",0,0.935179768873126,0.683,0.366,0
"Timp1",0,2.31155097790887,0.405,0.094,0
"Sparc",0,1.05743754246821,0.562,0.258,0
"Ftl1",0,1.32513996928535,0.541,0.238,0
"Gpnmb",0,1.40064158659346,0.462,0.168,0
"Lyz2",0,1.30330348461131,0.552,0.258,0
"Igfbp7",0,1.3878179259546,0.426,0.144,0
"Lgals3",0,2.19419187589601,0.358,0.079,0
"Vim",0,1.10127253386692,0.408,0.15,0
"S100a4",0,2.01877645017465,0.319,0.065,0
"Mgp",0,1.03424808766469,0.867,0.614,0
"Ctss",0,1.62027538186922,0.355,0.103,0
"Vcam1",0,2.73252020271363,0.297,0.047,0
"Ctsl",0,1.15629828302834,0.409,0.159,0
"Pi16",0,-4.85593689500239,0.051,0.282,0
"Tm4sf1",0,1.70554644593067,0.286,0.069,0
"Nupr1",0,1.57571284003628,0.274,0.063,0
"Mmp12",0,2.1323313379564,0.248,0.048,0
"Thbs1",0,3.96852924099363,0.213,0.015,0
"Gsn",0,-2.37431323071848,0.27,0.465,0
"Cdk8",0,-0.805352175316559,0.862,0.914,0
"Crip1",1.06681976665945e-289,1.13938226598294,0.343,0.118,3.22510283658818e-285
"Col1a1",1.30201152723312e-288,1.17033870229033,0.446,0.196,3.93611104797844e-284
"Col5a2",9.73170280010364e-277,2.11035580937077,0.207,0.036,2.94199107349933e-272
"Psap",1.50045228463983e-273,1.1279106595007,0.311,0.101,4.53601730169466e-269
"Tmsb4x",1.26399901422847e-257,0.784299485819057,0.564,0.328,3.8211954199141e-253
"Fxyd5",3.03266756497957e-257,1.60670929175211,0.248,0.065,9.16805731568973e-253
"Fabp5",4.46619678715023e-254,1.80753228100052,0.199,0.037,1.35017595072338e-249
"Ecm1",3.36375239825973e-252,1.2889132445683,0.264,0.075,1.0168959875179e-247
"Eln",9.35146237738197e-248,0.988980190941747,0.395,0.171,2.82704059130634e-243
"Tyrobp",1.64431364184899e-246,1.22787824591459,0.256,0.073,4.97092457067368e-242
"Ltbp2",4.61075593012528e-245,2.2035955859529,0.179,0.028,1.39387762523617e-240
"Ctgf",1.48057485910628e-239,1.04971910953188,0.321,0.118,4.4759258565642e-235
"Cd63",8.71467683697334e-239,0.936926658947609,0.299,0.102,2.63453395458541e-234
"Col1a2",1.24536439154711e-238,0.777102352726729,0.452,0.215,3.76486109208605e-234
"Gpx1",1.87099307291202e-238,1.14515409532312,0.285,0.095,5.65619915872033e-234
"Serpine2",1.83511119004508e-237,1.86442720858458,0.225,0.057,5.54772463862528e-233
"Cd5l",1.66456396166502e-235,1.33588045930574,0.253,0.074,5.03214331250952e-231
"Postn",7.54694922078105e-234,2.06253853262611,0.188,0.036,2.28151821893432e-229
"Cmss1",2.28571866737315e-232,-0.897151350004515,0.616,0.704,6.90995610333576e-228
"Prdx1",5.56271026303145e-232,1.29134443167778,0.232,0.062,1.68166293961704e-227
"Frzb",1.00411341691787e-231,2.32744355391947,0.171,0.027,3.03553527068442e-227
"Lgals1",1.36259593754456e-226,0.69442069947873,0.403,0.18,4.11926377879097e-222
"Camk1d",3.81374802336162e-225,-1.02663559704285,0.681,0.729,1.15293416494245e-220
"Col3a1",3.72268007377252e-204,0.616426742585005,0.404,0.191,1.12540341310217e-199
"Acta2",1.41104090548548e-197,0.679185522091397,0.371,0.168,4.26571776137314e-193
"Anxa5",6.37024445042471e-197,0.893173672320176,0.245,0.08,1.9257885998079e-192
"Gphn",8.85377371018684e-195,-0.772977856146306,0.708,0.772,2.67658433032658e-190
"Pld3",2.71011379458068e-194,1.26781738698826,0.183,0.043,8.19294501239686e-190
"Ctsz",4.26156841036786e-192,0.808493500716618,0.258,0.09,1.28831474613831e-187
"Col6a3",5.70989004871576e-192,1.39967354359197,0.176,0.041,1.72615686062726e-187
"Sncg",4.67613349048057e-191,2.25296551390317,0.141,0.021,1.41364191550718e-186
"Gm26917",1.83108970436489e-187,-1.24285641543794,0.295,0.44,5.53556728526549e-183
"Hexa",2.20252092427061e-187,0.794476345105352,0.289,0.114,6.65844100616248e-183
"Clec3b",3.72524975477131e-186,-5.01112965180711,0.015,0.093,1.12618025336492e-181
"Wisp2",2.94985452807937e-185,1.14842911990465,0.199,0.056,8.91770522383673e-181
"Tnfrsf11b",5.00382104274673e-184,2.65349453297545,0.119,0.012,1.51270513943276e-179
"Aqp1",6.10354340918378e-183,1.72917810003468,0.159,0.033,1.84516220803035e-178
"Serpine1",3.82993249723018e-182,2.39257831751467,0.131,0.018,1.15782689323766e-177
"Atox1",2.40258313641473e-181,1.05266769495519,0.209,0.064,7.26324907969537e-177
"Igfbp4",3.81908780897246e-180,-2.54127534753517,0.146,0.271,1.15454843553047e-175
"Lgmn",4.07849994911243e-180,1.14027186042069,0.19,0.052,1.23297131961618e-175
"Lox",1.98977524699041e-179,1.45614653953355,0.178,0.045,6.01528954917671e-175
"Calm1",2.60854685110071e-179,0.956984419668965,0.209,0.063,7.88589798556256e-175
"Npc2",2.35670690493266e-178,0.988076218766955,0.204,0.061,7.12456064430191e-174
"Anxa1",3.0508528082637e-178,1.47529304492628,0.153,0.031,9.223033124662e-174
"Lmna",6.97463958137526e-178,0.888045409465736,0.212,0.065,2.10850329184555e-173
"Col8a1",4.170013322807e-177,3.2250527957143,0.107,0.008,1.26063672761779e-172
"Sulf1",1.54987895375545e-176,1.39746086351953,0.159,0.035,4.6854390650981e-172
"Pkm",5.05392019639121e-172,0.666596850320664,0.264,0.102,1.52785061457103e-167
"Plin2",7.23010617533909e-172,1.25058245921638,0.174,0.045,2.18573339786676e-167
"Lamp1",6.69063391217453e-171,0.539033148898851,0.299,0.126,2.02264553798948e-166
"Trem2",8.88752996697575e-171,1.60717593585944,0.156,0.035,2.68678918431644e-166
"Wfdc17",1.63603641430448e-168,1.21774617401605,0.171,0.044,4.94590168408388e-164
"Aebp1",3.94030814477462e-166,0.483640643948057,0.321,0.143,1.19119455524681e-161
"Anxa2",2.59149646601823e-165,0.794860612100061,0.196,0.06,7.83435296641972e-161
"Col18a1",1.68965389495495e-161,1.28438588883574,0.166,0.044,5.10799268983832e-157
"S100a6",1.83935491738825e-161,0.46147293036667,0.325,0.147,5.56055385075642e-157
"Sh3bgrl3",8.71634667643677e-161,0.964359805486364,0.181,0.053,2.6350387637536e-156
"Cd9",8.18382555582032e-160,1.20222145873764,0.156,0.038,2.47405230378004e-155
"Lpl",1.2862466079103e-159,0.671853122178632,0.256,0.101,3.88845212037364e-155
"Gm42674",3.59590676406768e-159,2.41615721851931,0.104,0.01,1.0870785738453e-154
"C1qb",5.51313481979712e-154,0.684309258880866,0.256,0.103,1.66667578737287e-149
"Fbln5",1.03421638082471e-151,0.806349523593773,0.189,0.06,3.12653954087119e-147
"Capg",3.56697600954755e-150,1.24559351528071,0.152,0.039,1.07833251744632e-145
"Emp3",6.37205992913141e-150,0.939201148989298,0.158,0.042,1.92633743717572e-145
"Fcer1g",3.09616338249298e-148,1.09847755179981,0.164,0.046,9.36001152161453e-144
"Tagln2",3.44607427668307e-148,0.659859600579983,0.191,0.062,1.04178271458406e-143
"C1qa",1.28616192120038e-147,0.674931993241435,0.245,0.099,3.88819610398087e-143
"Timp2",1.38432760201584e-147,0.381333610193889,0.316,0.147,4.18496077365409e-143
"Myl6",3.50750998598672e-146,0.443903339583683,0.26,0.108,1.06035534386364e-141
"Cd68",3.15316277025904e-145,1.54078699444243,0.118,0.021,9.53232637077009e-141
"Mpeg1",6.67694587682725e-145,1.39684604396429,0.137,0.032,2.01850750802365e-140
"Laptm5",1.25279850025841e-144,0.761422498068557,0.188,0.062,3.78733514613121e-140
"Myl12a",9.27669848256915e-142,0.781812936891952,0.157,0.044,2.80443871826548e-137
"Ctsa",4.51239242390928e-141,1.00157905517636,0.147,0.038,1.36414135367201e-136
"Igfbp5",1.99054132337075e-140,-4.09272680887069,0.037,0.118,6.01760547468212e-136
"Gusb",3.01838635335023e-139,1.13821881476629,0.124,0.026,9.12488378481308e-135
"Akr1a1",9.46854870823503e-139,0.811094377575977,0.163,0.049,2.86243695998653e-134
"Txn1",1.02263690814582e-138,0.980123758679959,0.136,0.032,3.09153363701563e-134
"Wwp2",1.03877313006938e-138,1.17295503613843,0.163,0.05,3.14031504951275e-134
"Lars2",1.07321708046831e-138,-0.67288690155183,0.736,0.767,3.24444255596374e-134
"Aplp2",8.39790197153497e-138,0.770254207284462,0.178,0.058,2.53876974501474e-133
"B2m",1.44688861377585e-136,0.423378388650826,0.331,0.165,4.37408896830578e-132
"P4hb",2.50150371389447e-135,0.832566914870288,0.169,0.054,7.56229587747438e-131
"Gm19951",1.45845625083968e-134,-0.771873827285228,0.61,0.658,4.40905909191343e-130
"Nme2",1.49802034853769e-134,0.674836721018359,0.176,0.059,4.52866531566429e-130
"Sod3",7.72522949849057e-134,0.576165843255597,0.278,0.127,2.33541412968868e-129
"Pfn1",1.16158533852248e-133,0.490216561658869,0.226,0.09,3.51158863688732e-129
"Rpl12",2.05826286586509e-133,0.438862921184957,0.209,0.079,6.22233446979674e-129
"Msn",3.08379512800095e-133,0.625488820126352,0.17,0.055,9.32262105145966e-129
"Grn",6.664844705159e-133,0.507475804886794,0.252,0.109,2.01484920281662e-128
"Rpl32",5.91742628913842e-132,0.363459512595064,0.278,0.127,1.78889714146943e-127
"Ftl1-ps1",4.43391152243964e-131,0.925278069479003,0.13,0.031,1.34041579234873e-126
"Itgb1",2.41170209590556e-130,0.521426961295575,0.205,0.078,7.29081660613209e-126
"Cstb",7.81244133766045e-129,1.55651582897293,0.101,0.017,2.36177914078813e-124
"S100a11",1.17611314650345e-128,0.900060220466292,0.151,0.045,3.55550765319458e-124
"Mustn1",1.02125130550328e-127,1.52885861360062,0.11,0.022,3.08734482166696e-123
"Serf2",1.66336597924639e-127,0.685817983971637,0.158,0.049,5.02852169185976e-123
"Ptgis",3.13328742366692e-127,0.745754083936259,0.174,0.06,9.47224121048746e-123
"S100a10",3.44708098095211e-127,0.545832751259291,0.195,0.073,1.04208705135163e-122
"C1qc",4.47119160707881e-127,0.765320292561593,0.162,0.052,1.351685934736e-122
