,gene,plaque_gene
1,Abca1,ABCA1
2,Acp5,ACP5
3,Atp6v0d2,ATP6V0D2
4,C1qc,C1QC
5,Ccl6,CCL23
6,Cd36,CD36
7,Cd5l,CD5L
8,Cd68,CD68
9,Cotl1,COTL1
10,Creg1,CREG1
11,Ctsb,CTSB
12,Ctsd,CTSD
13,Ctsl,CTSL
14,Ctss,CTSS
15,Fabp5,FABP5
16,Fn1,FN1
17,Ftl1,FTL
18,Gpnmb,GPNMB
19,Laptm5,LAPTM5
20,Lgals3,LGALS3
21,Lgmn,LGMN
22,Lpl,LPL
23,Lyz2,LYZ
24,Mfge8,MFGE8
25,Mmp12,MMP12
26,Mpeg1,MPEG1
27,Pld3,PLD3
28,Pltp,PLTP
29,Psap,PSAP
30,Selenop,SELENOP
31,Spp1,SPP1
32,Timp1,TIMP1
33,Chil1,CHI3L1
34,Col1a1,COL1A1
35,Col27a1,COL27A1
36,Col2a1,COL2A1
37,Comp,COMP
38,Cytl1,CYTL1
39,Fmod,FMOD
40,Ibsp,IBSP
41,Mmp13,MMP13
42,Vcam1,VCAM1
43,Mmp3,MMP3
44,Lum,LUM
